Brand name	Markenname
The napkin is highly absorbent because it’s made of three-ply paper.	3-lagig, hohe Saugfähigkeit.
Frees floor space since the legs are fitted on the sides under the loft bed.	Wird an den Seiten unter dem Hochbett montiert -  für freien Fußraum und mehr Abstellfläche.
You can customise your storage using 2 adjustable shelves.	2 versetzbare Böden für bedarfsangepasste Aufbewahrung.
You can customise your storage with the adjustable shelf.	1 versetzbarer Boden für bedarfsangepasste Aufbewahrung.
Can be completed with UDDEN wire shelf and cabinet for convenient storage underneath.	Praktische Ergänzung: UDDEN Drahtablage und Schrank als Aufbewahrung unter der Spüle.
Storage space under the seat.	Praktische Aufbewahrung unter dem Sitz.
Transparent table top provides an easy overview of stored items.	Die transparente Platte erleichtert die Übersicht über die im Tischfach verstauten Gegenstände.
Easy to keep clean since the cover can be machine washed.	Pflegeleicht durch waschbaren Bezug.
Rubber feet increase stability.	Gumminoppen erhöhen die Standfestigkeit.
Quadruple-glazed door with a childproof lock improves kitchen safety.	4-fach verglaste Backofentür mit kindersicherer Verriegelung für mehr Sicherheit in der Küche.
You can customise your storage using 3 adjustable shelves.	Die Aufbewahrung lässt sich durch 3 versetzbare Böden  dem Bedarf anpassen.
The roll-front takes up no space when open, so it's practical in smaller spaces.	Jalousietüren sparen Platz und sind daher für kleine Räume besonders geeignet.
The bridging shelf connects two sections and provides space for a big-screen TV, for instance.	Verbindet zwei Elemente und schafft z. B. Platz für ein Großbildfernsehgerät.
Can be mounted on the wall above a bed, an armchair etc.	Kann über dem Bett, einem Sessel o. Ä. an der Wand angebracht werden.
Roll-front that stays in the position you choose.	Die Jalousietür stoppt, wo du möchtest.
As a safety precaution, the bed canopy has touch and close fastening that opens easily.	Der Betthimmel löst sich dank Klettverschluss, falls das Kind sich zwischen Wand und Blattstängel verfängt.
Cuddly and nice to lean against and sit on.	Nicht nur kuschelig zum Spielen, sondern auch zum Anlehnen und Draufsetzen.
Rail with 5 hooks that you can use to hang your cooking utensils, or as a towel hanger.	Stange mit 5 Haken. So sind Küchenutensilien in direkter Reichweite. Ohne Haken ist die Stange als Handtuchstange verwendbar.
The drop-leaves make it quick and easy to change the size of the table to suit your different needs.	Mit Klappen; spart Platz und ermöglicht es, die Tischgröße dem Bedarf anzupassen.
It is quick and easy to change the size of the table with the leaves to suit your different needs.	Die Tischgröße lässt sich mit den Zusatzplatten schnell und einfach dem Bedarf anpassen.
You can store for example magazines, table napkins and pot stands on the practical shelf under the table top.	Die praktische Ablage unter der Tischplatte ist ideal für Zeitschriften, Servietten, Topfuntersetzer usw.
You can store for example cutlery, table napkins and candles in the 2 drawers under the table top.	2 praktische Schubladen unter der Tischplatte für Besteck, Servietten usw.
You sit comfortably thanks to the high back.	Die hohe Rückenlehne sorgt für besonders bequemes Sitzen.
You sit comfortably thanks to the armrests.	Mit Armlehnen für besonders bequemes Sitzen.
You sit comfortably because the back cushion allows you to vary your sitting positions.	Rückenkissen für Abwechslung in der Sitzposition, erhöht die Bequemlichkeit.
You sit comfortably thanks to the scooped seat.	Besonders bequem durch den gerundeten Sitz.
Adjustable shelves; adapt spacing to your own storage needs.	Versetzbare Böden; lassen sich dem Aufbewahrungsbedarf anpassen.
Lockable doors; reduced risk of children getting at, for them, unsuitable contents.	Kann abgeschlossen werden und mindert das Risiko, dass Kinder Zugriff auf den Inhalt bekommen.
Adjustable, self-closing hinges.	Mit verstellbaren, selbstschließenden Scharnieren.
You can keep the flush door, or trim it with the enclosed strips.	Die Türen können glatt eingesetzt oder mit den beiliegenden Leisten ergänzt werden.
Can be used as practical storage for cutlery, spices or pens.	Praktische Aufbewahrung für Besteck, Gewürze, Stifte usw.
Ideal for storing small items like rubber bands and spices.	Praktische Aufbewahrung für Gummibänder, Gewürze und andere Kleinigkeiten.
You can customise spacing as you need, because the shelves are adjustable.	Mit versetzbaren Böden; der Abstand dazwischen kann dem Bedarf angepasst werden.
Can be used without back edging to create a work surface that you can use from two sides.	Ohne die hintere Abschlussleiste wird eine beidseitig nutzbare Arbeitsfläche daraus.
You can customise spacing as you need, because the shelf is adjustable.	Mit versetzbarem Boden; der Abstand dazwischen kann dem Bedarf angepasst werden.
You can hang your kitchen utensils on the 8 included hooks.	Inkl. 8 Haken. So lassen sich Küchenutensilien in Reichweite aufhängen.
You can fold the chairs, so they take less space when you're not using them.	Zusammenklappbar und daher nach Gebrauch leicht zu verstauen.
Solid wood can be sanded and surface treated as required.	Massivholz ist ein strapazierfähiges Naturmaterial, das bei Bedarf abgeschliffen und oberflächenbehandelt werden kann.
You can adjust the height as you like.	Die Höhe kann nach Bedarf eingestellt werden.
You can connect up to 3 light units with the intermediate connection cord supplied.	Bis zu 3 Leuchten lassen sich mit dem dazugehörigen Kabel verbinden.
Smooth running drawer with drawer stop.	Leicht laufende Schublade mit Stoppvorrichtung.
Smooth running drawers with drawer stop.	Leicht laufende Schubladen mit Stoppvorrichtung.
It's easy to access towels because it pulls out.	Voll ausziehbar - so sind die Handtücher leicht zugänglich.
You can easily access the bins, as the drawer can be pulled out all the way.	Dank des voll ausziehbaren Einsatzes sind die Eimer leicht zugänglich.
It's easy to access what's inside because it pulls out.	Voll ausziehbar - so ist der Inhalt leicht zugänglich.
Easy to hang out of the way as there is a hook on the underside.	Mit Haken auf der Unterseite zum einfachen Aufhängen nach Gebrauch.
Easy to fix and remove the tray.	Das Tablett ist leicht zu befestigen und abzunehmen.
Interior plastic container is easy to remove for cleaning.	Der innere Kunststoffbehälter ist zur Reinigung leicht zu entnehmen.
Can also hold a toothbrush mug or a soap dispenser.	Auch für Zahnputzbecher oder Seifenspender geeignet.
Hangs over the top edge of the door and helps you convert unused space into a storage place for bathrobes and bags.	Zum Anhängen an Türoberkanten; nutzt die Türfläche zum Aufbewahren.
Helps you make use of unused space, such as above the bath.	Nutzt ungenutzten Raum z.B. über der Badewanne.
Acrylic-coated fabric; protects your clothes against stains and moisture.	Beschichtetes Gewebe; schützt Kleidung vor Flecken und Feuchtigkeit.
Made of a durable material which does not break if they are dropped.	Aus haltbarem Material, das nicht kaputtgeht, wenn es auf den Boden fällt.
Shade of unbreakable plastic; minimises the risk of injury.	Schirm aus unzerbrechlichem Kunststoff; vermindert das Verletzungsrisiko.
You can decorate the lamp to your preference and taste.	Lässt sich nach Geschmack dekorieren.
Use only dry objects for electrical safety reasons.	Aus Sicherheitsgründen nur trockene Gegenstände benutzen.
The shelves can be moved vertically and rotated to make it easier for you to access what you need.	Die Böden sind versetzbar und lassen sich drehen, damit alles in der Küche leicht zugänglich ist.
The screw socket makes it easy to move the lamp.	Dank der Schraubhalterung ist die Leuchte leicht zu versetzen.
Fleece is a soft, easy-care material that you can machine wash.	Eine weiche und pflegeleichte Flauschdecke, die sich in der Maschine waschen lässt.
Cotton/polyester blend for higher shrink- and crease-resistance.	Baumwoll-/Polyestermischung vermindert Einlaufen und Knittern.
The shelf's construction is extra sturdy at 18mm thick.	Die verstärkten Böden sind besonders stabil konstruiert und 18 mm stark.
Long legs which makes cleaning easy.	Hohe Beine erleichtern das Saubermachen.
Solid oak door/drawer front has a hard surface.	Front aus massiver Eiche mit harter Oberfläche.
The fabric lets light in so it's never completely dark under the hood.	Lichtdurchlässiges Textilmaterial. Unter dem Verdeck wird es nie ganz dunkel.
Add a cushion or pad for more comfort.	Kann für zusätzlichen Komfort mit einem Kissen oder einem Polster ergänzt werden.
The boxes have castors so you can roll them out and easily reach the contents.	Die Schubladen laufen auf Rollen und können ganz herausgezogen werden. So ist der Inhalt leichter zugänglich.
The removable cover has a child-safe zipper and can be machine washed.	Abnehmbarer, maschinenwaschbarer Überzug mit kindersicherem Reißverschluss.
Channel-stitched which keeps the filling in place even during the wildest play.	Längs abgesteppt, damit die Füllung auch bei den wildesten Spielen nicht verrutscht.
Jumping and somersaulting helps to develop a child's motor skills and coordination.	Hüpfen und Purzelbäume schlagen entwickelt die kindliche Motorik und die Koordination der Bewegungen.
Storage under the middle seat. Great for toys, games, etc.	Platz für Spielsachen und anderes unter dem mittleren Sitz.
Climbing and jumping develops children’s motor skills, which increases self-confidence.	Klettern und springen unterstützt die Entwicklung der motorischen Fertigkeiten des Kindes und stärkt damit das Selbstbewusstsein.
Mirrors on the inside of the doors.	Mit Spiegeln auf der Innenseite der Türen.
Children can see themselves from all directions.	So kann sich das Kind von allen Seiten betrachten.
The plastic handles are soft so there are no sharp edges to bump into.	Griff aus weichem Kunststoff ohne Kanten, an denen das Kind sich verletzen könnte.
Door of soft plastic that is exciting to touch. Rounded edges for safer play.	Nachgiebige, griffige Kunststofftür ohne Ecken und Kanten, an denen ein Kind sich verletzen könnte.
Both for storage and play.	Hilft spielerisch beim Aufräumen - z.B.
Throw to hit the target.	per Zielwurf.
Exciting for children to feel through the hole in the door and guess what’s inside the cabinet.	Es ist spannend, den Inhalt des Schranks durch die Öffnung in der Tür zu ertasten und zu erraten.
Soft rubber around the wall fixtures so there are no sharp edges to bump into.	Wandbefestigung mit weichem Gummiüberzug - keine scharfen Kanten, an denen man sich verletzen könnte.
